19173,Adam And Eve,Adam And Eve  The Ridgeway London,NW7 1RL,523455,192329,51.616258,-0.218277,Barnet
19186,Ahir Lorenzo's Bar Restaurant,298 Nether Street London,N3 1RJ,525064,190865,51.602747,-0.195571,Barnet
19197,Albanian Association,Albanian Association  Summers Lane London,N12 0PD,526634,191269,51.606027,-0.172783,Barnet
19234,Annie's Freehouse,168 Ballards Lane London,N3 2PA,525627,191187,51.605516,-0.187332,Barnet
19314,Bald Faced Stag,Bald Faced Stag 69 High Road London,N2 8AB,527237,189406,51.589149,-0.164741,Barnet
19330,Barnet Elizabethans Rugby Football Club,Barnet Rugby Football Club  Byng Road Barnet,EN5 4NS,523685,196944,51.657684,-0.213328,Barnet
19340,Barnet Table Tennis Club,Barnet Table Tennis Centre  Barnet Lane Barnet,EN5 2DN,525124,195663,51.645851,-0.192993,Barnet
19400,Blarneys Free House,128 Burnt Oak Broadway Edgware,HA8 0BB,520074,190574,51.601217,-0.267686,Barnet
19417,Bodens,99 East Barnet Road Barnet,EN4 8RF,526819,195976,51.648277,-0.168396,Barnet
19463,Brondesbury Cricket Tennis Bowls & Squash Club,Brondesbury Cricket Tennis And Squash Club 5 Harman Drive London,NW2 2EB,524400,185936,51.558588,-0.206898,Barnet
19477,Builders Arms,Builders Arms 3 Albert Road Barnet,EN4 9SH,526472,196257,51.650889,-0.173307,Barnet
19533,Calderbank Catering At The Greyhound Pub,The Greyhound 50 Church End London,NW4 4JT,522912,189526,51.591187,-0.227097,Barnet
19534,Camden Playing Fields Sports And Social Club,Old Camdenians Football Club  Burtonhole Lane London,NW7 1AS,523547,192816,51.620624,-0.216777,Barnet
19580,CHARTWELLS - MDX. BUILDING BAR,Middlesex University  The Burroughs London,NW4 4BT,522822,189361,51.589723,-0.228453,Barnet
19708,Cricklewood Trades Hall Club And Institute,134 Cricklewood Lane London,NW2 2DP,524240,186075,51.559882,-0.209156,Barnet
19733,David Lloyd Club,David Lloyd Leisure Centre  Leisure Way London,N12 0QZ,526518,191247,51.605864,-0.17445,Barnet
19804,East Barnet Valley United Services Club,23 East Barnet Road Barnet,EN4 8RN,526630,196142,51.64982,-0.171066,Barnet
19808,East Finchley Constitutional Club,East Finchley Constitutional Club  The Walks London,N2 8DE,526933,189788,51.592651,-0.168988,Barnet
19838,Elephant Inn,Elephant Inn 283 Ballards Lane London,N12 8NR,526128,191854,51.611398,-0.179861,Barnet
19899,Finchley Bowling Club,Finchley Bowling Club  Etchingham Park Road London,N3 2DT,525935,191281,51.606292,-0.182852,Barnet
19907,Finchley Golf Club,Nether Court  Frith Lane London,NW7 1PU,524591,191645,51.609861,-0.20212,Barnet
19909,Finchley Lawn Tennis Club,Finchley Lawn Tennis Club  Brent Way London,N3 1AJ,525024,191567,51.609074,-0.195898,Barnet
19910,"Finchley Manor Lawn Tennis, Squash And Health Club",Finchley Manor Lawn Tennis And Squash Rackets Club  Lyndhurst Gardens London,N3 1TD,524474,190734,51.6017,-0.204132,Barnet
19916,Finchley Rugby Club,Finchley Rugby Football Club  Summers Lane London,N12 0PD,526637,191257,51.605923,-0.172735,Barnet
19918,Finchley United Services Club,307 Ballards Lane London,N12 8LY,526259,192023,51.612887,-0.177923,Barnet
19923,Fitness Pod At Middlesex University,Middlesex University  The Burroughs London,NW4 4BT,522822,189361,51.589723,-0.228453,Barnet
19953,Friary Park Bowling Club,Friary Park  Friary Road London,N20 0NR,527353,192773,51.619381,-0.161845,Barnet
19988,Gertie Brownes,95 High Road London,N2 8AG,527219,189583,51.590744,-0.164936,Barnet
20063,Hadley Football Club,Hadley Football Club  Brickfield Lane Barnet,EN5 3LD,521595,195154,51.64205,-0.244154,Barnet
20074,Hampstead Golf Club,82 Winnington Road London,N2 0TU,526626,187491,51.572068,-0.174246,Barnet
20109,Hendon Golf Club,Hendon Golf Club  Ashley Walk London,NW7 1DG,523348,191298,51.607016,-0.220184,Barnet
20116,Hendon Rifle Club,Hendon Rifle Club  Cool Oak Lane London,NW9 7NB,521356,187461,51.572956,-0.250275,Barnet
20117,Hendon Rugby Football Club,Hendon Rugby Football Club  Greenlands Lane London,NW4 1RL,522925,190937,51.603873,-0.226415,Barnet
20119,Hendon Sea Training Corps,Hendon Sea Cadet Hall  Cool Oak Lane London,NW9 7ND,521646,187598,51.574134,-0.24603,Barnet
20309,Kings Head,The Kings Head 84 High Street Barnet,EN5 5SN,524557,196497,51.653473,-0.200887,Barnet
20349,Laboratory Spa & Health Club,1 Hall Lane London,NW4 4TJ,522289,190488,51.599968,-0.23575,Barnet
20423,Lord Kitchener,Lord Kitchener 49 East Barnet Road Barnet,EN4 8RN,526630,196142,51.64982,-0.171066,Barnet
20426,Lounge 4:04,26 Cricklewood Lane London,NW2 1HB,523908,185784,51.557339,-0.214045,Barnet
20428,Lucky 7 - Wine Bar,7 Cricklewood Lane London,NW2 1ET,523843,185784,51.557345,-0.214982,Barnet
20435,Maccabi London,Rowley Lane Sports Ground  Rowley Lane Barnet,EN5 3HW,521494,196521,51.654358,-0.245132,Barnet
20437,Maddens Bar,130 High Road London,N2 9ED,527258,189596,51.590852,-0.164383,Barnet
20449,Malt And Hops,Malt And Hops 891 High Road London,N12 8QA,526272,192676,51.618762,-0.177486,Barnet
20526,Merkur Slots,48 Ballards Lane London,N3 2BJ,525315,190822,51.602314,-0.191966,Barnet
20549,Mill Hill Golf Club,Mill Hill Golf Club 100 Barnet Way London,NW7 3AL,521007,193656,51.628706,-0.253159,Barnet
20553,Mill Hill Rugby Club,Mill Hill Rugby Football Club  Champions Way London,NW7 2EQ,522526,191036,51.604841,-0.232139,Barnet
20555,Mill Hill Services Club,Mill Hill Services Club Ltd 11 Hartley Avenue London,NW7 2HX,521714,192158,51.615101,-0.243484,Barnet
20558,Mill Hill Village Sports Club,The Mill Hill Cricket Club  Burtonhole Lane London,NW7 1AS,523547,192816,51.620624,-0.216777,Barnet
20700,Oak Hill Bowls Club,Oak Hill Park  Parkside Gardens Barnet,EN4 8JS,528204,194649,51.636047,-0.148874,Barnet
20706,Oakleigh Lawn Tennis & Squash Club,100 Oakleigh Road North London,N20 9EZ,526818,193905,51.629675,-0.16916,Barnet
20708,Oakleigh Park School Of Swimming,100 Oakleigh Road North London,N20 9EZ,526818,193905,51.629675,-0.16916,Barnet
20731,Old Elizabethans Social Club,Old Elizabethans (Barnet) Memorial Playing Field  Mays Lane Barnet,EN5 2AG,522678,194779,51.638437,-0.228636,Barnet
20745,Orange Tree Public House,Orange Tree 7 Totteridge Village London,N20 8NX,524930,193895,51.630007,-0.196426,Barnet
20752,Osidge Arms,Osidge Arms  Hampden Square London,N14 5JP,528662,194228,51.632159,-0.142414,Barnet
20871,Poolside Manor Ltd,Poolside Manor  Lyndhurst Gardens London,N3 1TD,524586,190733,51.601667,-0.202524,Barnet
20884,Powerleague Fives Limited,Powerleague Soccer Centre 31 Pursley Road London,NW7 2BB,522890,191345,51.607539,-0.226777,Barnet
